year,category,occupation,count_all,avg_salary
1970,"Life, Physical, and Social Science","Life, Physical, and Social Science Technicians, nec",86600,44200.391454965364
1970,"Installation, Maintenance, and Repair","Electronic Home Entertainment Equipment Installers and Repairers",307400,38482.556929082624
1970,"Social Service","Security Guards and Gaming Surveillance Officers",855800,30882.090441691984
1970,"Extraction","Earth Drillers, Except Oil and Gas",149400,37312.812583668005
1970,"Production","Textile Knitting and Weaving Machine Setters, Operators, and Tenders",219300,20783.492932056542
1970,"Life, Physical, and Social Science","Chemists and Materials Scientists",247900,59727.405808793876
1970,"Life, Physical, and Social Science","Biological Technicians",80000,30056.81375
1970,"Life, Physical, and Social Science","Agricultural and Food Scientists",31900,53555.60501567398
1970,"Architecture and Engineering","Drafters",664600,44299.73879024978
1970,"Food Preparation and Serving","Counter Attendant, Cafeteria, Food Concession, and Coffee Shop",532300,7828.618823971445
1970,"Social Service","Recreation and Fitness Workers",279500,14597.824329159212
1970,"Transportation and Material Moving","Sailors and marine oilers, and ship engineers",94600,32342.62473572939
1970,"Social Service","Entertainment Attendants and Related Workers, nec",487100,11596.167932662696
1970,"Life, Physical, and Social Science","Chemical Technicians",144800,42123.80179558011
1970,"Corporate","Computer Operators",292900,33909.09218163195
1970,"Food Preparation and Serving","Bartenders",506400,26198.31141390205
1970,"Corporate","Couriers and Messengers",194600,15675.352517985613
1970,"Architecture and Engineering","Architects, Except Naval",127400,80294.75745682888
1970,"Production","Butchers and Other Meat, Poultry, and Fish Processing Workers",662400,34265.710144927536
1970,"Management in Business, Science, and Arts","Education Administrators",481100,65688.11598420287
1970,"Community and Social Services","Community and Social Service Specialists, nec",44400,18546.632882882885
1970,"Construction","Structural Iron and Steel Workers",182600,48967.712486308876
1970,"Legal","Lawyers, and judges, magistrates, and other judicial workers",603900,114949.61318099023
1970,"Social Service","Nonfarm Animal Caretakers",135300,16455.634146341465
1970,"Social Service","Pharmacists",261100,63854.69398697816
1970,"Installation, Maintenance, and Repair","Maintenance Workers, Machinery",171700,35169.1875364007
1970,"Transportation and Material Moving","Packers and Packagers, Hand",144000,16175.452777777777
1970,"Transportation and Material Moving","Locomotive Engineers and Operators",158800,52582.03652392947
1970,"Construction","Pipelayers, Plumbers, Pipefitters, and Steamfitters",889900,47494.936397348014
1970,"Education, Training, and Library","Other Teachers and Instructors",541900,25516.397121240083
1970,"Corporate","Sales Engineers",119800,81847.93489148581
1970,"Transportation and Material Moving","Railroad Brake, Signal, and Switch Operators",235200,45416.74447278912
1970,"Corporate","Counter and Rental Clerks",704000,16938.27286931818
1970,"Education, Training, and Library","Postsecondary Teachers",1132400,54267.98851995762
1970,"Installation, Maintenance, and Repair","Millwrights",186000,50815.3752688172
1970,"Corporate","First-Line Supervisors of Office and Administrative Support Workers",267400,49774.62079281974
1970,"Corporate","Sales Representatives, Services, All Other",671500,34304.89009679821
1970,"Production","Prepress Technicians and Workers",373800,39573.039058319955
1970,"Arts, Design, Entertainment, Sports, and Media","Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other",66400,35302.31777108434
1970,"Transportation and Material Moving","Air Traffic Controllers and Airfield Operations Specialists",53800,70525.25464684016
1970,"Production","Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",65200,42463.323619631905
1970,"Architecture and Engineering","Industrial Engineers, including Health and Safety",403000,71494.13970223325
1970,"Business Operations Specialists","Compliance Officers, Except Agriculture",194100,49943.87738279238
1970,"Management in Business, Science, and Arts","Food Service and Lodging Managers",830600,39728.44714664098
1970,"Transportation and Material Moving","Conveyor operators and tenders, and hoist and winch operators",484500,41902.87079463364
1970,"Social Service","Barbers",392700,31204.237840590784
1970,"Corporate","Weighers, Measurers, Checkers, and Samplers, Recordkeeping",113400,27382.632275132277
1970,"Production","Painting Workers and Dyers",356100,29653.03594495928
1970,"Corporate","Statistical Assistants",665400,27949.787045386238
1970,"Education, Training, and Library","Librarians",321900,30900.746815781302
1970,"Corporate","Mail Clerks and Mail Machine Operators, Except Postal Service",363000,20172.39393939394
1970,"Installation, Maintenance, and Repair","Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics",1396700,43044.76580511205
1970,"Production","Bookbinders, Printing Machine Operators, and Job Printers",489300,37714.013284283676
1970,"Business Operations Specialists","Buyers and Purchasing Agents, Farm Products",54600,48765.85164835165
1970,"Transportation and Material Moving","Cleaners of Vehicles and Equipment",367500,16716.93850340136
1970,"Production","Forging Machine Setters, Operators, and Tenders, Metal and Plastic",37300,43811.13941018767
1970,"Corporate","Loan Interviewers and Clerks",695400,40309.88236985907
1970,"Installation, Maintenance, and Repair","Home Appliance Repairers",276400,37757.59587554269
1970,"Installation, Maintenance, and Repair","Electrical and electronics repairers, transportation equipment, and industrial and utility",224700,49062.07476635514
1970,"Social Service","Dental Assistants",299900,12860.692564188064
1970,"Corporate","Models, Demonstrators, and Product Promoters",163700,8986.850335980453
1970,"Production","Cabinetmakers and Bench Carpenters",163800,33409.83638583639
1970,"Production","Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",632800,33384.647281921614
1970,"Arts, Design, Entertainment, Sports, and Media","Announcers",50900,41522.304518664045
1970,"Construction","Sheet Metal Workers, metal-working",361500,45902.885200553246
1970,"Farming, Fisheries, and Forestry","Forest and Conservation Workers",46000,30974.752173913046
1970,"Arts, Design, Entertainment, Sports, and Media","Artists and Related Workers",268400,41590.93144560358
1970,"Business Operations Specialists","Claims Adjusters, Appraisers, Examiners, and Investigators",219500,43651.781776765376
1970,"Social Service","Physicians and Surgeons",591300,138313.68408591242
1970,"Social Service","Firefighters",386600,51695.495861355404
1970,"Social Service","Health Technologists and Technicians, nec",150400,28174.17353723404
1970,"Architecture and Engineering","Electrical and Electronics Engineers",616600,74815.58919883231
1970,"Corporate","Meter Readers, Utilities",75900,34156.86429512517
1970,"Corporate","Reservation and Transportation Ticket Agents and Travel Clerks",251500,37097.36302186879
1970,"Social Service","Therapists, nec",194000,32214.47731958763
1970,"Production","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",694400,41814.49150345622
1970,"Production","Bakers",287900,27427.22021535255
1970,"Arts, Design, Entertainment, Sports, and Media","Musicians, Singers, and Related Workers",251500,26248.081510934393
1970,"Social Service","Funeral Service Workers and Embalmers",11000,40969.8
1970,"Social Service","Crossing Guards",112000,15933.452678571428
1970,"Corporate","Real Estate Brokers and Sales Agents",698000,56233.977650429806
1970,"Construction","Glaziers",56200,44165.0
1970,"Installation, Maintenance, and Repair","Radio and Telecommunications Equipment Installers and Repairers",517200,46988.937354988404
1970,"Production","Photographic Process Workers and Processing Machine Operators",183400,25210.173936750274
1970,"Corporate","Communications Equipment Operators, All Other",38200,33206.549738219896
1970,"Life, Physical, and Social Science","Urban and Regional Planners",19200,60957.973958333336
1970,"Construction","Carpet, Floor, and Tile Installers and Finishers",177800,39750.27896512936
1970,"Management in Business, Science, and Arts","Property, Real Estate, and Community Association Managers",226900,38143.18025561921
1970,"Social Service","Dieticians and Nutritionists",122500,24463.057142857146
1970,"Arts, Design, Entertainment, Sports, and Media","Athletes, Coaches, Umpires, and Related Workers",176800,25727.71153846154
1970,"Construction","Cement Masons, Concrete Finishers, and Terrazzo Workers",175700,35075.10130904952
1970,"Technicians","Surveying and Mapping Technicians",150700,37991.68480424685
1970,"Computer and Mathematical","Computer Programmers",352700,50054.648709951805
1970,"Transportation and Material Moving","Transportation workers, nec",24800,35475.11693548387
1970,"Computer and Mathematical","Computer Scientists and Systems Analysts/Network systems Analysts/Web Developers",202000,67288.92772277228
1970,"Arts, Design, Entertainment, Sports, and Media","Designers",455900,40994.0723842948
1970,"Social Service","Baggage Porters, Bellhops, and Concierges",56300,18812.026642984012
1970,"Corporate","Payroll and Timekeeping Clerks",433400,27820.556068297185
1970,"Corporate","Advertising Sales Agents",153300,55583.193085453364
1970,"Corporate","Production, Planning, and Expediting Clerks",467200,42863.14576198631
1970,"Corporate","Securities, Commodities, and Financial Services Sales Agents",222700,92360.29636281994
1970,"Social Service","Health Diagnosing and Treating Practitioner Support Technicians",139300,27386.506101938267
1970,"Arts, Design, Entertainment, Sports, and Media","Entertainers and Performers, Sports and Related Workers, All Other",159400,42774.93412797993
1970,"Corporate","Data Entry Keyers",824900,19791.713298581646
1970,"Transportation and Material Moving","Refuse and Recyclable Material Collectors",175600,26563.621298405465
1970,"Computer and Mathematical","Statisticians",57100,47017.54991243432
1970,"Production","Medical, Dental, and Ophthalmic Laboratory Technicians",62800,42216.670382165605
1970,"Corporate","Proofreaders and Copy Markers",87500,23387.22857142857
1970,"Corporate","Dispatchers",133900,39796.651232262884
1970,"Architecture and Engineering","Aerospace Engineers",142900,84501.75367389784
1970,"Production","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",434900,29398.06622212003
1970,"Production","Tool and Die Makers",467500,52105.93518716578
1970,"Architecture and Engineering","Engineers, nec",417100,75421.31623111964
1970,"Construction","Construction and Building Inspectors",45700,50244.89059080963
1970,"Education, Training, and Library","Archivists, Curators, and Museum Technicians",17300,43842.497109826596
1970,"Production","Furniture Finishers",55500,27296.9981981982
1970,"Production","Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",191600,29291.316805845512
1970,"Production","Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",130600,33582.0819295559
1970,"Management in Business, Science, and Arts","Funeral Directors",82600,62275.51937046005
1970,"Production","Jewelers and Precious Stone and Metal Workers",92400,38623.51082251082
1970,"Construction","Paving, Surfacing, and Tamping Equipment Operators",222800,36474.63240574506
1970,"Computer and Mathematical","Operations Research Analysts",178200,65495.549382716046
1970,"Construction","Insulation Workers",55800,46459.17025089606
1970,"Social Service","Dental Hygienists",47100,25990.411889596606
1970,"Social Service","Sheriffs, Bailiffs, Correctional Officers, and Jailers",77000,40097.97012987013
1970,"Life, Physical, and Social Science","Environmental Scientists and Geoscientists",44600,77170.41255605382
1970,"Social Service","Optometrists",35800,104448.79888268157
1970,"Life, Physical, and Social Science","Social Scientists, nec",50400,46586.9007936508
1970,"Production","Molders, Shapers, and Casters, Except Metal and Plastic",63500,31445.006299212597
1970,"Transportation and Material Moving","Aircraft Pilots and Flight Engineers",121400,99216.84102141681
1970,"Production","Upholsterers",165700,29987.295715147862
1970,"Life, Physical, and Social Science","Economists and market researchers",140600,79664.89900426743
1970,"Life, Physical, and Social Science","Astronomers and Physicists",47700,81198.3962264151
1970,"Extraction","Mining Machine Operators",424600,33300.882477626
1970,"Transportation and Material Moving","Flight Attendants and Transportation Workers and Attendants",94700,26261.779303062303
1970,"Social Service","Ushers, Lobby Attendants, and Ticket Takers",54800,7508.032846715329
1970,"Transportation and Material Moving","Parking Lot Attendants",86800,18303.524193548386
1970,"Social Service","Medical Records and Health Information Technicians",29700,30695.228956228955
1970,"Construction","Drywall Installers, Ceiling Tile Installers, and Tapers",105700,40778.76253547777
1970,"Life, Physical, and Social Science","Biological Scientists",75700,50032.476882430645
1970,"Installation, Maintenance, and Repair","Computer, Automated Teller, and Office Machine Repairers",150600,47097.35391766269
1970,"Social Service","Chiropractors",29700,70187.55555555556
1970,"Architecture and Engineering","Petroleum, mining and geological engineers, including mining safety engineers",34400,74894.66860465116
1970,"Corporate","Office Machine Operators, Except Computer",175700,19190.524758110416
1970,"Construction","Construction workers, nec",51500,38091.05048543689
1970,"Arts, Design, Entertainment, Sports, and Media","Photographers",160100,42096.29231730169
1970,"Arts, Design, Entertainment, Sports, and Media","Actors, Producers, and Directors",49000,35654.885714285716
1970,"Computer and Mathematical","Mathematical science occupations, nec",16300,64316.24539877301
1970,"Social Service","Opticians, Dispensing",64900,36771.59938366718
1970,"Social Service","Veterinarians",41100,94035.1800486618
1970,"Life, Physical, and Social Science","Psychologists",63800,65582.22884012539
1970,"Computer and Mathematical","Actuaries",11900,75796.79831932773
1970,"Production","Etchers, Engravers, and Lithographers",94900,44764.86933614331
1970,"Production","Rolling Machine Setters, Operators, and Tenders, metal and Plastic",49200,44723.54878048781
1970,"Community and Social Services","Religious Workers, nec",91300,24612.891566265058
1970,"Architecture and Engineering","Chemical Engineers",111300,76938.70889487871
1970,"Construction","Plasterers and Stucco Masons",78800,38930.26776649746
1970,"Life, Physical, and Social Science","Atmospheric and Space Scientists",13100,68649.80152671755
1970,"Production","Model Makers and Patternmakers, Metal and Plastic",91200,52344.569078947374
1970,"Arts, Design, Entertainment, Sports, and Media","Writers and Authors",64400,55182.46583850931
1970,"Extraction","Explosives Workers, Ordnance Handling Experts, and Blasters",20900,32223.574162679426
1970,"Social Service","Podiatrists",13800,87623.13043478261
1970,"Corporate","Bill and Account Collectors",129200,28740.732198142414
1970,"Construction","Helpers, Construction Trades",35400,21456.810734463277
1970,"Architecture and Engineering","Materials Engineers",33100,76689.22960725075
1970,"Construction","Boilermakers",75000,45895.168
1970,"Production","Computer Control Programmers and Operators",7000,55369.04285714286
1970,"Transportation and Material Moving","Subway, Streetcar, and Other Rail Transportation Workers",26200,45868.423664122136
1970,"Installation, Maintenance, and Repair","Precision Instrument and Equipment Repairers",15900,32117.062893081762
1970,"Social Service","Law enforcement workers, nec",10100,38221.56435643564
1970,"Arts, Design, Entertainment, Sports, and Media","Dancers and Choreographers",24500,17181.14285714286
1970,"Life, Physical, and Social Science","Physical Scientists, nec",2900,82371.75862068965
1970,"Installation, Maintenance, and Repair","Helpers--Installation, Maintenance, and Repair Workers",15300,34482.18954248366
1970,"Social Service","Health Diagnosing and Treating Practitioners, nec",4400,33681.681818181816
1970,"Corporate","Eligibility Interviewers, Government Programs",2900,18807.620689655174
1980,"Social Service","Recreation and Fitness Workers",76800,12124.647135416668
1980,"Life, Physical, and Social Science","Environmental Scientists and Geoscientists",49720,66778.76347546259
1980,"Transportation and Material Moving","Material moving workers, nec",306900,31450.912365591397
1980,"Food Preparation and Serving","Chefs and Cooks",1874580,11991.481273138515
1980,"No Occupation","Unemployed, with No Work Experience in the Last 5 Years or Earlier or Never Worked",98449700,7545.013297663038
1980,"Corporate","Secretaries and Administrative Assistants",5020140,20624.970893242018
1980,"Installation, Maintenance, and Repair","Aircraft Mechanics and Service Technicians",123480,48358.96967120181
1980,"Transportation and Material Moving","Driver/Sales Workers and Truck Drivers",2982900,36226.536226491
1980,"Construction","Construction and Building Inspectors",59160,42860.144100743746
1980,"Management in Business, Science, and Arts","Managers, nec (including Postmasters)",6292320,56273.66115439138
1980,"Architecture and Engineering","Electrical and Electronics Engineers",343740,64395.084031535465
1980,"Building and Grounds Cleaning and Maintenance","Janitors and Building Cleaners",2766160,19436.197262631227
1980,"Corporate","Office Clerks, General",2257380,19294.679958624598
1980,"Arts, Design, Entertainment, Sports, and Media","Technical Writers",55760,46168.356079626974
1980,"Corporate","Bookkeeping, Accounting, and Auditing Clerks",2364260,21603.638827793897
1980,"Corporate","Sales and Related Workers, All Other",2445780,14777.244500731873
1980,"Corporate","Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",491180,11799.823944378842
1980,"Education, Training, and Library","Secondary School Teachers",988140,34882.03174145364
1980,"Life, Physical, and Social Science","Urban and Regional Planners",13080,49769.836391437304
1980,"Installation, Maintenance, and Repair","Maintenance Workers, Machinery",53400,39346.12312734083
1980,"Food Preparation and Serving","Waiters and Waitresses",2289720,8815.913412993728
1980,"Social Service","Police Officers and Detectives",448440,46508.798880563736
1980,"Education, Training, and Library","Archivists, Curators, and Museum Technicians",18440,35679.49078091106
1980,"Business Operations Specialists","Compliance Officers, Except Agriculture",180660,45169.7443263589
1980,"Corporate","Computer Operators",512660,30861.778215581475
1980,"Financial Specialists","Accountants and Auditors",1113580,45902.39556655112
1980,"Social Service","Registered Nurses",1547360,29029.496038413818
1980,"Construction","Carpenters",1532060,30029.174160933642
1980,"Corporate","Production, Planning, and Expediting Clerks",485060,31693.956840390878
1980,"Education, Training, and Library","Elementary and Middle School Teachers",2810260,30950.74933458114
1980,"Farming, Fisheries, and Forestry","Fishing and hunting workers",79680,30843.838227911645
1980,"Food Preparation and Serving","Food preparation and serving related workers, nec",1447040,7888.970557137329
1980,"Business Operations Specialists","Wholesale and Retail Buyers, Except Farm Products",190460,40943.23464244461
1980,"Social Service","Childcare Workers",1092120,8459.525418452184
1980,"Installation, Maintenance, and Repair","Maintenance and Repair Workers, General",629700,36892.382158170556
1980,"Construction","Pipelayers, Plumbers, Pipefitters, and Steamfitters",561120,41966.58483033932
1980,"Arts, Design, Entertainment, Sports, and Media","Dancers and Choreographers",17660,18833.036806342014
1980,"Military","Military, Rank Not Specified",1782500,25914.89115007012
1980,"Corporate","Stock Clerks and Order Fillers",750080,24461.87414675768
1980,"Computer and Mathematical","Computer Scientists and Systems Analysts/Network systems Analysts/Web Developers",211180,58592.14373993749
1980,"Legal","Paralegals and Legal Assistants",93020,29231.6651257794
1980,"Production","Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",411740,31553.49027298781
1980,"Corporate","Bank Tellers",639180,16567.28565505804
1980,"Computer and Mathematical","Computer Programmers",338280,43016.232322336524
1980,"Corporate","Cashiers",2706960,11974.843350104915
1980,"Education, Training, and Library","Preschool and Kindergarten Teachers",242400,13806.893564356435
1980,"Corporate","Word Processors and Typists",1075400,17546.214548075135
1980,"Construction","Construction Laborers",1105080,22795.81542965215
1980,"Corporate","First-Line Supervisors of Sales Workers",1806840,41687.91963870625
1980,"Management in Business, Science, and Arts","Education Administrators",436240,51524.566454245374
1980,"Transportation and Material Moving","Packers and Packagers, Hand",849620,17441.196046467834
1980,"Building and Grounds Cleaning and Maintenance","First-Line Supervisors of Housekeeping and Janitorial Workers",137000,32305.523284671533
1980,"Social Service","Firefighters",214540,45786.30325347254
1980,"Education, Training, and Library","Teacher Assistants",273340,10757.229713909415
1980,"Corporate","Telephone Operators",393380,20493.615816767502
1980,"Corporate","Interviewers, Except Eligibility and Loan",203880,15794.799367274867
1980,"Food Preparation and Serving","First-Line Supervisors of Food Preparation and Serving Workers",311480,19858.074643636828
1980,"Social Service","Nonfarm Animal Caretakers",95780,13885.30831071205
1980,"Social Service","Medical Assistants and Other Healthcare Support Occupations, nec",2279540,15057.350941418004
1980,"Business Operations Specialists","Purchasing Agents, Except Wholesale, Retail, and Farm Products",214280,45610.10250606683
1980,"Corporate","Office and administrative support workers, nec",486100,28796.72190907221
1980,"Corporate","Information and Record Clerks, All Other",405420,22235.300786838343
1980,"Corporate","First-Line Supervisors of Office and Administrative Support Workers",924560,40967.172779484295
1980,"Management in Business, Science, and Arts","Human Resources Managers",245260,53373.67852483079
1980,"Installation, Maintenance, and Repair","Automotive Service Technicians and Mechanics",1063600,31989.322767017675
1980,"Corporate","Insurance Sales Agents",627820,53786.504483769226
1980,"Production","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",178300,40618.28892316321
1980,"Transportation and Material Moving","Laborers and Freight, Stock, and Material Movers, Hand",3284300,20360.97900009134
1980,"Installation, Maintenance, and Repair","Automotive Body and Related Repairers",226520,31549.01509800459
1980,"Corporate","Data Entry Keyers",472880,20992.44730164101
1980,"Arts, Design, Entertainment, Sports, and Media","Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other",84960,30596.95427259887
1980,"Corporate","Payroll and Timekeeping Clerks",200940,25868.518214392352
1980,"Installation, Maintenance, and Repair","Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics",226500,40320.946887417216
1980,"Corporate","Retail Salespersons",1706860,22589.169416355177
1980,"Construction","First-Line Supervisors of Construction Trades and Extraction Workers",880300,53588.9959900034
1980,"Life, Physical, and Social Science","Conservation Scientists and Foresters",40960,39180.32116699219
1980,"Corporate","Receptionists and Information Clerks",732760,14520.227209454664
1980,"Corporate","File Clerks",416620,15304.196522010465
1980,"Life, Physical, and Social Science","Life, Physical, and Social Science Technicians, nec",754460,38724.51224054291
1980,"Architecture and Engineering","Petroleum, mining and geological engineers, including mining safety engineers",36520,73094.98918400875
1980,"Corporate","Library Assistants, Clerical",187140,12122.053569520145
1980,"Corporate","Real Estate Brokers and Sales Agents",779520,46363.58574507389
1980,"Transportation and Material Moving","Taxi Drivers and Chauffeurs",231420,24040.521281652407
1980,"Technicians","Engineering Technicians, Except Drafters",346760,39897.451147767904
1980,"Community and Social Services","Religious Workers, nec",60060,19813.07400932401
1980,"Production","Laundry and Dry-Cleaning Workers",256700,15769.753583950136
1980,"Business Operations Specialists","Human Resources, Training, and Labor Relations Specialists",475660,43809.69682125888
1980,"Social Service","Dental Hygienists",55780,25137.48287916816
1980,"Food Preparation and Serving","Bartenders",403800,17969.102018325906
1980,"Production","Bookbinders, Printing Machine Operators, and Job Printers",428240,31150.818069306926
1980,"Social Service","Physicians and Surgeons",460260,114092.02942901838
1980,"Farming, Fisheries, and Forestry","Logging Workers",139260,24997.410419359472
1980,"Corporate","Sales Representatives, Wholesale and Manufacturing",1387740,51291.867295026444
1980,"Arts, Design, Entertainment, Sports, and Media","Photographers",113340,30784.44723839774
1980,"Corporate","Parts Salespersons",223480,33640.76460980849
1980,"Architecture and Engineering","Civil Engineers",221480,63136.729795015344
1980,"Construction","Electricians",692240,45184.673241939214
1980,"Legal","Lawyers, and judges, magistrates, and other judicial workers",566600,82402.31872573243
1980,"Corporate","Reservation and Transportation Ticket Agents and Travel Clerks",114500,36910.98209606987
1980,"Production","Adhesive Bonding Machine Operators and Tenders",46280,22554.798184961106
1980,"Production","Other production workers including semiconductor processors and cooling and freezing equipment operators",2493780,28018.53209986446
1980,"Production","Welding, Soldering, and Brazing Workers",921780,35325.577502223954
1980,"Education, Training, and Library","Other Teachers and Instructors",413820,22894.32477888937
1980,"Technicians","Surveying and Mapping Technicians",64600,30985.53521671827
1980,"Installation, Maintenance, and Repair","Heating, Air Conditioning, and Refrigeration Mechanics and Installers",164400,37867.96000608272
1980,"Construction","Construction workers, nec",172080,27842.879184100417
1980,"Transportation and Material Moving","Flight Attendants and Transportation Workers and Attendants",78020,35852.516406049726
1980,"Corporate","Sales Representatives, Services, All Other",422860,41166.029123114036
1980,"Production","Butchers and Other Meat, Poultry, and Fish Processing Workers",342680,32587.08124197502
1980,"Management in Business, Science, and Arts","Financial Managers",435280,59166.76454236353
1980,"Construction","Carpet, Floor, and Tile Installers and Finishers",133980,31919.028474399165
1980,"Production","Assemblers and Fabricators, nec",2136540,24213.441346756907
1980,"Arts, Design, Entertainment, Sports, and Media","Announcers",50780,28681.29233950374
1980,"Financial Specialists","Financial Specialists, nec",454460,47563.60657703648
1980,"Construction","Brickmasons, Blockmasons, and Stonemasons",244280,31752.520652529885
1980,"Social Service","Clinical Laboratory Technologists and Technicians",285220,27989.434348923634
1980,"Architecture and Engineering","Drafters",373460,36716.87965243935
1980,"Social Service","Health Technologists and Technicians, nec",179060,25433.630291522393
1980,"Extraction","Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining",176080,52236.400272603365
1980,"Business Operations Specialists","Other Business Operations and Management Specialists",35340,45855.83545557442
1980,"Management in Business, Science, and Arts","Managers in Marketing, Advertising, and Public Relations",742260,66446.0463045294
1980,"Corporate","Dispatchers",113660,36656.04922576104
1980,"Corporate","Billing and Posting Clerks",232620,20513.1838405984
1980,"Production","First-Line Supervisors of Production and Operating Workers",2109440,48873.71090905643
1980,"Corporate","Office Machine Operators, Except Computer",68560,18699.394909568262
1980,"Corporate","Counter and Rental Clerks",132820,15385.32498870652
1980,"Architecture and Engineering","Surveyors, Cartographers, and Photogrammetrists",51680,34103.213041795665
1980,"Community and Social Services","Clergy",310380,33048.86735614408
1980,"Transportation and Material Moving","Bus and Ambulance Drivers and Attendants",462480,23472.73598858329
1980,"Social Service","Hairdressers, Hairstylists, and Cosmetologists",690000,16715.61354347826
1980,"Production","Prepress Technicians and Workers",86660,29155.036406646665
1980,"Life, Physical, and Social Science","Economists and market researchers",106740,62870.09555930298
1980,"Corporate","Postal Service Clerks",321300,42200.59925303455
1980,"Transportation and Material Moving","Pumping Station Operators",436180,14457.704479801916
1980,"Social Service","Entertainment Attendants and Related Workers, nec",199140,14249.449482775937
1980,"Food Preparation and Serving","Counter Attendant, Cafeteria, Food Concession, and Coffee Shop",326740,6269.033482279488
1980,"Social Service","Sheriffs, Bailiffs, Correctional Officers, and Jailers",168760,37040.40012443707
1980,"Corporate","Advertising Sales Agents",131340,41050.66697121973
1980,"Transportation and Material Moving","Cleaners of Vehicles and Equipment",188940,16610.98375145549
1980,"Corporate","Postal Service Mail Carriers",303020,44341.392168833736
1980,"Production","Photographic Process Workers and Processing Machine Operators",113580,21857.588703997182
1980,"Corporate","Weighers, Measurers, Checkers, and Samplers, Recordkeeping",104620,26885.177069393994
1980,"Management in Business, Science, and Arts","Chief executives and legislators/public administration",55100,46275.127223230484
1980,"Education, Training, and Library","Postsecondary Teachers",722640,44385.638941935125
1980,"Production","Jewelers and Precious Stone and Metal Workers",47640,25932.686397984886
1980,"Transportation and Material Moving","Aircraft Pilots and Flight Engineers",82060,93507.98848403606
1980,"Transportation and Material Moving","Air Traffic Controllers and Airfield Operations Specialists",45660,60210.96572492334
1980,"Corporate","Human Resources Assistants, Except Payroll and Timekeeping",91940,23912.361757668044
1980,"Building and Grounds Cleaning and Maintenance","Maids and Housekeeping Cleaners",1640920,11269.80473149209
1980,"Farming, Fisheries, and Forestry","Agricultural workers, nec",1383680,12713.96296108927
1980,"Management in Business, Science, and Arts","Farmers, Ranchers, and Other Agricultural Managers",1649760,34330.355815391325
1980,"Architecture and Engineering","Architects, Except Naval",118640,57831.74919925826
1980,"Extraction","Extraction workers, nec",85500,37240.00058479532
1980,"Social Service","Dental Assistants",213340,14386.551139026906
1980,"Installation, Maintenance, and Repair","Electrical and electronics repairers, transportation equipment, and industrial and utility",185380,35795.0658377387
1980,"Management in Business, Science, and Arts","Purchasing Managers",78760,62467.340337734895
1980,"Arts, Design, Entertainment, Sports, and Media","Editors, News Analysts, Reporters, and Correspondents",245600,37990.0957247557
1980,"Social Service","Personal Care and Service Workers, All Other",251680,14447.349769548631
1980,"Computer and Mathematical","Statisticians",34800,44527.660632183906
1980,"Social Service","Security Guards and Gaming Surveillance Officers",720280,26158.855361803744
1980,"Architecture and Engineering","Engineers, nec",281240,66127.18921561656
1980,"Corporate","Securities, Commodities, and Financial Services Sales Agents",143500,75977.36700348431
1980,"Production","Packaging and Filling Machine Operators and Tenders",161660,21518.940925398983
1980,"Production","Upholsterers",82260,23712.645210308776
1980,"Installation, Maintenance, and Repair","Millwrights",151200,50967.59196428572
1980,"Community and Social Services","Social Workers",537320,30892.19153390903
1980,"Production","Sewing Machine Operators",1245580,14029.228672586263
1980,"Production","Crushing, Grinding, Polishing, Mixing, and Blending Workers",128420,31932.450475003894
1980,"Construction","Construction equipment operators except paving, surfacing, and tamping equipment operators",271800,40187.097902869755
1980,"Arts, Design, Entertainment, Sports, and Media","Artists and Related Workers",180120,27992.527315123247
1980,"Social Service","Pharmacists",164240,50692.49442888456
1980,"Corporate","Correspondent clerks and order clerks",414860,24963.157137347538
1980,"Social Service","Physician Assistants",34320,31182.446532634032
1980,"Arts, Design, Entertainment, Sports, and Media","Public Relations Specialists",141460,43828.2705711862
1980,"Construction","Roofers",151020,24146.17636736856
1980,"Corporate","Bill and Account Collectors",104360,25063.030136067457
1980,"Construction","Helpers, Construction Trades",165580,17309.406933204493
1980,"Social Service","First-Line Supervisors of Personal Service Workers",35940,31140.773789649415
1980,"Production","Furniture Finishers",38900,19887.20771208226
1980,"Corporate","Loan Interviewers and Clerks",289560,32924.093832021
1980,"Production","Stationary Engineers and Boiler Operators",151580,49157.88461538462
1980,"Management in Business, Science, and Arts","Property, Real Estate, and Community Association Managers",240820,40035.14184868366
